Family;Genus;Species;Species English
Apogonidae;Apogon;erythrosoma;Redmouth Cardinalfish
Apogonidae;Apogon;luteus;
Apogonidae;Apogonichthyoides;pharaonis;Pharao Cardinalfish
Apogonidae;Apogonichthyoides;taeniatus;Twobelt Cardinalfish
Pomacanthidae;Apolemichthys;trimaculatus;Three-Spot Angelfish
Lutjanidae;Aprion;virescens;Green Jobfish
Ophichthidae;Apterichtus;klazingai;Sharpsnout Snake Eel
Apogonidae;Archamia;bleekeri;Bleeker's Cardinalfish
Gobiidae;Arcygobius;baliurus;NA
Congridae;Ariosoma;anagoides;Bigeye Conger
Tetraodontidae;Arothron;caeruleopunctatus;Blue-Spotted Puffer
Tetraodontidae;Arothron;diadematus;Masked Puffer
Tetraodontidae;Arothron;hispidus;Whitespotted Puffer
Tetraodontidae;Arothron;immaculatus;Immaculate Puffer
Tetraodontidae;Arothron;manilensis;Striped Puffer
Tetraodontidae;Arothron;mappa;Map Puffer
Tetraodontidae;Arothron;nigropunctatus;Blackspotted Puffer
Tetraodontidae;Arothron;stellatus;Starry Puffer
Blenniidae;Aspidontus;dussumieri;Lance Blenny
Blenniidae;Aspidontus;taeniatus;Cleaner Mimic
Bothidae;Asterorhombus;cocosensis;Cocos Island Flounder
Bothidae;Asterorhombus;filifer;Longlure Flounder
Bothidae;Asterorhombus;intermedius;Blotched Flounder
Gobiidae;Asterropteryx;bipunctata;Twinspot Goby
Gobiidae;Asterropteryx;ensifera;Bluedot Goby
Gobiidae;Asterropteryx;ovata;Oval-Spot Goby
Gobiidae;Asterropteryx;semipunctata;Starry Goby
Gobiidae;Asterropteryx;striata;Striped Goby
Scyliorhinidae;Atelomycterus;marmoratus;Coral Catshark
Atherinidae;Atherinomorus;lacunosus;Robust Silverside
Blenniidae;Atrosalarias;fuscus;Brown Coral Blenny
Carangidae;Atule;mate;Yellowtail Scad
Aulostomidae;Aulostomus;chinensis;Trumpetfish
Pomacentridae;Azurina;elerae;Twinspot Chromis
Pomacentridae;Azurina;lepidolepis;Scaly Chromis
Balistidae;Balistapus;undulatus;Orange-Lined Triggerfish
Balistidae;Balistoides;conspicillum;Clown Triggerfish
Balistidae;Balistoides;viridescens;Titan Triggerfish
Gobiidae;Bathygobius;mero;Sponge Frillgoby
Dasyatidae;Bathytoshia;lata;Black Stingray
Liopropomatidae;Belonoperca;chabanaudi;Arrowhead Soapfish
Blenniidae;Blenniella;chrysospilos;Red-Spotted Blenniella
Blenniidae;Blenniella;periophthalmus;Blue-dashed Rockskipper
Labridae;Bodianus;anthioides;Lyretail Hogfish
Labridae;Bodianus;axillaris;Axilspot Hogfish
Labridae;Bodianus;bilunulatus;Saddleback Hogfish
Labridae;Bodianus;diana;Diana's Hogfish
Labridae;Bodianus;dictynna;Redfin Hogfish
Labridae;Bodianus;mesothorax;Blackbelt Hogfish
Labridae-Sc;Bolbometopon;muricatum;Bumphead Parrotfish
Bothidae;Bothus;mancus;Peacock Flounder
Bothidae;Bothus;pantherinus;Panther Flounder
Monacanthidae;Brachaluteres;taylori;Puffer Filefish
Soleidae;Brachirus;aspilos;Dusky Sole
Ophichthidae;Brachysomophis;cirrocheilos;Stargazer Snake Eel
Ophichthidae;Brachysomophis;henshawi;Reptilian Snake Eel
Gobiidae;Bryaninops;amplus;Large Whip Goby
Gobiidae;Bryaninops;loki;Loki Whip Goby
Gobiidae;Bryaninops;natans;Redeye Goby
Gobiidae;Bryaninops;ridens;Ridens Goby
Gobiidae;Bryaninops;spongicolus;Sponge Goby
Gobiidae;Bryaninops;tigris;Blackcoral Whipgoby
Gobiidae;Bryaninops;yongei;Wire Coral Goby
Syngnathidae;Bulbonaricus;davaoensis;Davao Pughead Pipefish
Lutjanidae;Caesio;caerulaurea;Scissortail Fusilier
Lutjanidae;Caesio;cuning;Yellowtail Fusilier
Lutjanidae;Caesio;lunaris;Lunar Fusilier
Lutjanidae;Caesio;striata;Striated Fusilier
Lutjanidae;Caesio;suevica;Red Sea Fusilier
Lutjanidae;Caesio;teres;Blue-And-Yellow Fusilier
Lutjanidae;Caesio;varilineata;Variable-Lined Fusilier
Ophichthidae;Callechelys;marmorata;Marbled Snake Eel
Callionymidae;Callionymus;delicatulus;Delicate Dragonet
Callionymidae;Callionymus;enneactis;Common Dragonet
Callionymidae;Callionymus;zythros;Wongat Dragonet
Plesiopidae;Calloplesiops;altivelis;Comet
Labridae-Sc;Calotomus;carolinus;Star-eye Parrotfish
Labridae-Sc;Calotomus;viridescens;Viridescent Parrotfish
Syngnathidae;Campichthys;tryoni;Tryon's Pipefish
Monacanthidae;Cantherhines;dumerilii;Yelloweye Filefish
Monacanthidae;Cantherhines;fronticinctus;Spectacled Filefish
Monacanthidae;Cantherhines;pardalis;Honeycomb Filefish
Balistidae;Canthidermis;maculata;Oceanic Triggerfish
Tetraodontidae;Canthigaster;axiologus;Pacific Crown Toby
Tetraodontidae;Canthigaster;bennetti;Bennett's Toby
