Family;Genus;Species;Species English;Bangka;Red Sea;Both;All
Apogonidae;Sphaeramia;nematoptera;Pajama Cardinalfish;1;0;0;1
Apogonidae;Sphaeramia;orbicularis;Orbicular Cardinalfish;1;0;0;1
Apogonidae;Taeniamia;bilineata;Two-Lined Cardinalfish;1;1;1;1
Apogonidae;Taeniamia;fucata;Orangelined Cardinalfish;1;1;1;1
Apogonidae;Taeniamia;lineolata;Shimmering Cardinal;0;1;0;1
Apogonidae;Taeniamia;macroptera;Duskytailed Cardinalfish;1;0;0;1
Apogonidae;Taeniamia;zosterophora;Girdled Cardinalfish;1;0;0;1
Apogonidae;Verulux;cypselurus;Blacknosed Cardinalfish;1;1;1;1
Apogonidae;Yarica;hyalosoma;Humpbacked Cardinalfish;1;0;0;1
Apogonidae;Zapogon;isus;Grapefruit Cardinalfish;0;1;0;1
Apogonidae;Zoramia;leptacanthus;Threadfin Cardinalfish;1;0;0;1
Atherinidae;Atherinomorus;lacunosus;Robust Silverside;1;0;0;1
Atherinidae;Atherinomorus;lacunosus;Slender Hardyhead;0;1;0;1
Atherinidae;Hypoatherina;gobio;Gudgeon Silverside;0;1;0;1
Atherinidae;Hypoatherina;gobio;NA;1;0;0;1
Atherinidae;Hypoatherina;golanii;Red Sea Silverside;1;1;1;1
Atherinidae;Old;World;NA;1;0;0;1
Aulostomidae;Aulostomus;chinensis;Trumpetfish;1;0;0;1
Balistidae;Abalistes;stellatus;Starry Triggerfish;1;0;0;1
Balistidae;Balistapus;undulatus;Orange-Lined Triggerfish;1;1;1;1
Balistidae;Balistoides;conspicillum;Clown Triggerfish;1;0;0;1
Balistidae;Balistoides;viridescens;Titan Triggerfish;1;1;1;1
Balistidae;Canthidermis;maculata;Oceanic Triggerfish;1;0;0;1
Balistidae;Melichthys;niger;Black Triggerfish;1;0;0;1
Balistidae;Melichthys;vidua;Pink-Tailed Triggerfish;1;0;0;1
Balistidae;Odonus;niger;Redtooth Triggerfish;1;1;1;1
Balistidae;Pseudobalistes;flavimarginatus;Yellowmargin Triggerfish;1;1;1;1
Balistidae;Pseudobalistes;fuscus;Blue Triggerfish;1;1;1;1
Balistidae;Rhinecanthus;aculeatus;Lagoon Triggerfish;1;0;0;1
Balistidae;Rhinecanthus;assasi;Arabian Picasso Triggerfish;1;1;1;1
Balistidae;Rhinecanthus;rectangulus;Wedgetail Triggerfish;1;0;0;1
Balistidae;Rhinecanthus;verrucosus;Blackpatch Triggerfish;1;0;0;1
Balistidae;Sufflamen;albicaudatum;Bluethroat Triggerfish;1;1;1;1
Balistidae;Sufflamen;bursa;Scythe Triggerfish;1;0;0;1
Balistidae;Sufflamen;chrysopterum;Flagtail Triggerfish;1;0;0;1
Balistidae;Sufflamen;fraenatum;Bridled Triggerfish;1;0;0;1
Balistidae;Xanthichthys;auromarginatus;Gilded Triggerfish;1;0;0;1
Batrachoididae;Halophyme;diemensis;NA;1;0;0;1
Batrachoididae;Halophyme;hutchinsi;NA;1;0;0;1
Belonidae;Platybelone;argalus;Keeltail Needlefish;1;0;0;1
Belonidae;Strongylura;incisa;Reef Needlefish;1;0;0;1
Belonidae;Tylosurus;choram;Red Sea Houndfish;1;0;0;1
Belonidae;Tylosurus;choram;Red Sea Needlefish;0;1;0;1
Belonidae;Tylosurus;crocodilus;Crocodile Needlefish;1;0;0;1
Blenniidae;Alloblennius;jugularis;Jugular Blenny;1;1;1;1
Blenniidae;Alloblennius;pictus;Bluebelly Blenny;1;1;1;1
Blenniidae;Alticus;magnusi;Magnus' Blenny;1;1;1;1
Blenniidae;Aspidontus;dussumieri;Lance Blenny;1;1;1;1
Blenniidae;Aspidontus;taeniatus;Cleaner Mimic;1;1;1;1
Blenniidae;Atrosalarias;fuscus;Brown Coral Blenny;1;1;1;1
Blenniidae;Blenniella;chrysospilos;Red-Spotted Blenniella;1;0;0;1
Blenniidae;Blenniella;periophthalmus;Blue-dashed Rockskipper;1;1;1;1
